decoupled_id,geometry_id,source_geometry_type,area_frac,perimeter_norm,equivalent_diameter_norm,aspect_ratio,eccentricity,solidity,compactness,extent,convexity,major_axis_norm,minor_axis_norm,boundary_curvature_mean,boundary_curvature_std,fractal_dimension,asymmetry_score,number_of_components,E_bg,contrast,E_lesion,z_top,z_bottom,thickness,heterogeneity
decoupled_0000,midas_lesion_259,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,7.643920183548332,1.7428860044615144,13.322481507127279,4.593853620668136,7.595287724910579,3.001434104242443,0.24362485479220297
decoupled_0001,isic2018_lesion_ISIC_0035553,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,6.364974689823196,6.7453661462008325,42.93408479415853,4.292808518359831,7.522961357641411,3.2301528392815806,0.28004103913827644
decoupled_0002,isic2018_lesion_ISIC_0035078,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,9.87835988039409,3.4318062458735756,33.90061713652339,2.7553465325596447,3.960027604410388,1.2046810718507435,0.051112761800804714
decoupled_0003,midas_lesion_415,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,3.432682429227773,5.481439811239977,18.81604212691307,0.5367209191657132,5.126533484347538,4.589812565181825,0.2634918613755684
decoupled_0004,isic2018_lesion_ISIC_0035210,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,8.620693419852984,1.5400763651057525,13.276526186738263,0.3104582363130794,1.2637700126979248,0.9533117763848453,0.2094083451860803
decoupled_0005,isic2018_lesion_ISIC_0035626,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,6.33782099389787,3.1446106984387607,19.92997970220102,7.623873640973193,11.864266720023526,4.240393079050333,0.24984708766636882
decoupled_0006,isic2018_lesion_ISIC_0034579,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,3.931598730508316,2.7355448571457903,10.755064687602943,4.051747869200817,8.334237091430252,4.282489222229435,0.28703061259609697
decoupled_0007,isic2018_lesion_ISIC_0034898,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,4.670049887078244,1.2237540111930596,5.7149922817836964,6.1687946328972165,8.33673920464918,2.1679445717519643,0.20948098680322316
decoupled_0008,ph2_lesion_IMD057,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,3.119805083909773,3.4131561608411154,10.648381942770074,5.882381594188358,9.9303561488626,4.0479745546742425,0.16785673009618862
decoupled_0009,midas_lesion_647,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,3.3777869423765146,1.7305631588935617,5.845473641068526,6.177608105943132,7.236503384648284,1.058895278705152,0.19881561728692052
decoupled_0010,isic2018_lesion_ISIC_0035421,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,9.52659955324537,4.1566045891203744,39.59830742173182,0.46814196103730693,1.983191461565949,1.515049500528642,0.34950374226528613
decoupled_0011,midas_lesion_69,clinical_mask,0.755859375,2.75,0.9810148044289672,1.0,0.0,1.0,1.2559879720446798,0.8054110301768991,1.0,0.9811673238788051,0.9811673238788051,3.1630946806341935,0.008801874241551873,1.9085559336533833,0.0,1.0,5.320651389988208,1.5007334724311943,7.984879636092863,1.171111967572351,5.539068042540992,4.3679560749686415,0.057164876472646384
decoupled_0012,squamous_cell_carcinoma_BCN_0000004833,clinical_mask,0.164306640625,2.015625,0.45738573688555156,1.8852126082925396,0.8477198850396415,0.7619317176720326,0.5082126929549741,0.4817897091722595,1.3124535661218424,0.702400355573212,0.37258415973007136,4.972584571971463,0.32249627842615697,1.80638791826563,0.43843400447427294,1.0,5.465207243437302,1.1296832983553238,6.173953344961658,1.2951006762457147,4.286315288381136,2.9912146121354213,0.2902207972900254
