sample_id,dim,field_path,mask_path,readout_path,metadata_path,geometry_id,source_geometry_type,split_original,z_top,z_bottom,thickness,E_bg,E_lesion,contrast,operator_id,operator_metadata_path,array_index
basal_cell_carcinoma_BCN_0000016844__cancer_observed,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\basal_cell_carcinoma_BCN_0000016844__cancer_observed\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\basal_cell_carcinoma_BCN_0000016844__cancer_observed\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,basal_cell_carcinoma_BCN_0000016844,clinical_mask,,,,,3.00000023841858,34.79068240994651,11.596893215010567,,,
basal_cell_carcinoma_BCN_0000016844__cancer_homogenized,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\basal_cell_carcinoma_BCN_0000016844__cancer_homogenized\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\basal_cell_carcinoma_BCN_0000016844__cancer_homogenized\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,basal_cell_carcinoma_BCN_0000016844,clinical_mask,,,,,3.00000023841858,34.7906824099465,11.596893215010562,,,
basal_cell_carcinoma_BCN_0000016844__normal_3kPa,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\basal_cell_carcinoma_BCN_0000016844__normal_3kPa\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\basal_cell_carcinoma_BCN_0000016844__normal_3kPa\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,basal_cell_carcinoma_BCN_0000016844,clinical_mask,,,,,3.0,3.0,1.0,,,
basal_cell_carcinoma_BCN_0000016844__normal_9p5kPa,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\basal_cell_carcinoma_BCN_0000016844__normal_9p5kPa\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\basal_cell_carcinoma_BCN_0000016844__normal_9p5kPa\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,basal_cell_carcinoma_BCN_0000016844,clinical_mask,,,,,9.5,9.5,1.0,,,
benign_nevi_BCN_0000002637__cancer_observed,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\benign_nevi_BCN_0000002637__cancer_observed\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\benign_nevi_BCN_0000002637__cancer_observed\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,benign_nevi_BCN_0000002637,clinical_mask,,,,,3.00000023841858,22.421188148416103,7.473728788846766,,,
benign_nevi_BCN_0000002637__cancer_homogenized,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\benign_nevi_BCN_0000002637__cancer_homogenized\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\benign_nevi_BCN_0000002637__cancer_homogenized\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,benign_nevi_BCN_0000002637,clinical_mask,,,,,3.00000023841858,22.4211881484161,7.473728788846765,,,
benign_nevi_BCN_0000002637__normal_3kPa,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\benign_nevi_BCN_0000002637__normal_3kPa\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\benign_nevi_BCN_0000002637__normal_3kPa\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,benign_nevi_BCN_0000002637,clinical_mask,,,,,3.0,3.0,1.0,,,
benign_nevi_BCN_0000002637__normal_9p5kPa,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\benign_nevi_BCN_0000002637__normal_9p5kPa\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\benign_nevi_BCN_0000002637__normal_9p5kPa\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,benign_nevi_BCN_0000002637,clinical_mask,,,,,9.5,9.5,1.0,,,
melanoma_BCN_0000018489__cancer_observed,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\melanoma_BCN_0000018489__cancer_observed\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\melanoma_BCN_0000018489__cancer_observed\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,melanoma_BCN_0000018489,clinical_mask,,,,,3.00000023841858,24.52131932804435,8.173772459755043,,,
melanoma_BCN_0000018489__cancer_homogenized,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\melanoma_BCN_0000018489__cancer_homogenized\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\melanoma_BCN_0000018489__cancer_homogenized\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,melanoma_BCN_0000018489,clinical_mask,,,,,3.00000023841858,24.521319328044296,8.173772459755025,,,
