figure,dimension,device,device_label,model,model_label,primary_metric,min_N,max_N,metric_at_min_N,metric_at_max_N,N90,AULC_lower_better,last_doubling_gain_fraction,plateau_pass,DER_self_N90_vs_operator,common_quality_threshold,N_to_operator_quality,common_quality_reached,DER_common_quality_vs_operator,DER_common_quality_note,DER_vs_operator_conditioned
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,MAE_kPa,12,144,20.846130179181518,2.4278238869127278,144.0,9.147932456915342,0.43171014925019074,False,1.0,1.9003134496408844,180.0,False,1.25,lower_bound_not_reached_within_grid,1.25
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,MAE_kPa,12,144,20.80085702713495,2.6788249951615835,96.0,8.992470190536611,0.3236672235305033,False,0.6666666666666666,1.9003134496408844,180.0,False,1.25,lower_bound_not_reached_within_grid,1.25
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,MAE_kPa,12,144,19.452376515561316,2.388359272120959,96.0,8.702414877725582,0.4049293348888867,False,0.6666666666666666,1.9003134496408844,180.0,False,1.25,lower_bound_not_reached_within_grid,1.25
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,MAE_kPa,12,144,4.145270722709377,1.727557681491713,144.0,3.323137947902591,0.5546364150692439,False,1.0,1.9003134496408844,144.0,True,1.0,observed,1.0
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,MAE_kPa,12,144,8.25331581217977,6.710531003436077,144.0,7.507565842240795,0.10133285622310123,False,1.0,1.9003134496408844,180.0,False,1.25,lower_bound_not_reached_within_grid,1.25
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,MAE_kPa,12,144,21.60232929704046,4.201111167713797,144.0,10.457414303785407,0.34088849570865587,False,1.0,8.690560179844677,48.0,True,1.0,observed,1.0
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,MAE_kPa,12,144,20.80443595344047,6.729526865276118,96.0,10.85929081495275,0.09612984810650191,False,0.6666666666666666,8.690560179844677,96.0,True,2.0,observed,2.0
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,MAE_kPa,12,144,21.068969924370844,4.7571900249214165,144.0,10.811490611615646,0.36336428983527297,False,1.0,8.690560179844677,48.0,True,1.0,observed,1.0
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,MAE_kPa,12,144,10.98322092275725,7.900509254404252,144.0,9.152986841265898,0.07651781003223035,False,1.0,8.690560179844677,48.0,True,1.0,observed,1.0
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,MAE_kPa,12,144,62.7688964606679,61.99637221866853,24.0,62.23596488784853,0.014634484094533903,True,0.16666666666666666,8.690560179844677,180.0,False,3.75,lower_bound_not_reached_within_grid,3.75
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,MAE_kPa,12,144,30.259110453594165,6.7599909272813,144.0,15.676231155379066,0.38484864213311043,False,1.0,8.81760292343254,144.0,True,3.0,observed,3.0
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,MAE_kPa,12,144,24.47722336951253,9.20906177986378,96.0,13.511701385850037,0.06265475810729078,False,0.6666666666666666,8.81760292343254,180.0,False,3.75,lower_bound_not_reached_within_grid,3.75
Figure 2,2D,US,ultrasound,U-Net,U-Net,MAE_kPa,12,144,29.29688318365159,7.174340805189881,144.0,15.779555513480009,0.35662951822681555,False,1.0,8.81760292343254,144.0,True,3.0,observed,3.0
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,MAE_kPa,12,144,11.03464611265008,8.016002657665945,144.0,9.280019227730381,0.08556204113124091,False,1.0,8.81760292343254,48.0,True,1.0,observed,1.0
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,MAE_kPa,12,144,64.60768591317917,64.72393960252303,12.0,64.64498335792142,0.013174846782441699,True,0.08333333333333333,8.81760292343254,180.0,False,3.75,lower_bound_not_reached_within_grid,3.75
Figure 3,3D,MMP,soft MMP,SRCNN_3D_proxy,SRCNN 3D proxy,mae_zbottom_mm,50,1200,0.6695591560049579,0.6349338225937714,200.0,0.6455329147582477,0.0011690466355321432,True,0.5,0.2208714339947903,1500.0,False,15.0,lower_bound_not_reached_within_grid,15.0
Figure 3,3D,MMP,soft MMP,direct_scalar_regression,direct scalar regression,mae_zbottom_mm,50,1200,1.4491216567267227,1.374182317808681,200.0,1.3971218502748328,0.0011690466355321557,True,0.5,0.2208714339947903,1500.0,False,15.0,lower_bound_not_reached_within_grid,15.0
Figure 3,3D,MMP,soft MMP,dps_inverse_diffusion,DPS inverse diffusion,mae_zbottom_mm,50,1200,0.5595504529021991,0.39519672837200964,400.0,0.44594472439230964,0.01311824693975233,True,1.0,0.2208714339947903,1500.0,False,15.0,lower_bound_not_reached_within_grid,15.0
Figure 3,3D,MMP,soft MMP,eapp_only_diffusion,Eapp-only diffusion,mae_zbottom_mm,50,1200,0.5992062730700515,0.4753988499994952,200.0,0.506929491830339,0.01035142083562099,True,0.5,0.2208714339947903,1500.0,False,15.0,lower_bound_not_reached_within_grid,15.0
Figure 3,3D,MMP,soft MMP,kernel_gp,kernel GP,mae_zbottom_mm,50,1200,0.722905488201004,0.47198627741025706,800.0,0.5715638109452734,0.043816520707676276,True,2.0,0.2208714339947903,1500.0,False,15.0,lower_bound_not_reached_within_grid,15.0
Figure 3,3D,MMP,soft MMP,op_conditioned_diffusion_ours,operator-conditioned diffusion,mae_zbottom_mm,50,1200,0.2695192328151536,0.20079221272253664,400.0,0.21265694727605952,0.009590576530545713,True,1.0,0.2208714339947903,100.0,True,1.0,observed,1.0
Figure 3,3D,MMP,soft MMP,unet_3d,3D U-Net,mae_zbottom_mm,50,1200,0.8514647580533685,0.6349338225937714,400.0,0.6958240891621278,0.004935528731389448,True,1.0,0.2208714339947903,1500.0,False,15.0,lower_bound_not_reached_within_grid,15.0
Figure 3,3D,MMP,soft MMP,vanilla_3d_diffusion,vanilla 3D diffusion,mae_zbottom_mm,50,1200,0.48163097132002003,0.5375437696745009,50.0,0.5389098199215845,0.011755236509177154,True,0.125,0.2208714339947903,1500.0,False,15.0,lower_bound_not_reached_within_grid,15.0
Figure 3,3D,PIEZO,sheet piezo,SRCNN_3D_proxy,SRCNN 3D proxy,mae_zbottom_mm,50,1200,1.1980704507474231,1.018951632545697,800.0,1.08768925808561,0.008474511899316998,True,4.0,0.6737123192109108,1500.0,False,30.0,lower_bound_not_reached_within_grid,30.0
Figure 3,3D,PIEZO,sheet piezo,direct_scalar_regression,direct scalar regression,mae_zbottom_mm,50,1200,1.2818124776401703,1.0901737171583483,800.0,1.163715925002178,0.008474511899316974,True,4.0,0.6737123192109108,1500.0,False,30.0,lower_bound_not_reached_within_grid,30.0
Figure 3,3D,PIEZO,sheet piezo,dps_inverse_diffusion,DPS inverse diffusion,mae_zbottom_mm,50,1200,0.578953359113947,0.4328223523067228,200.0,0.46499764193898446,0.004663311457023623,True,1.0,0.6737123192109108,50.0,True,1.0,observed,1.0
Figure 3,3D,PIEZO,sheet piezo,eapp_only_diffusion,Eapp-only diffusion,mae_zbottom_mm,50,1200,0.9215852404709226,0.7330512388420836,200.0,0.7741222710069432,0.005348433736170824,True,1.0,0.6737123192109108,1500.0,False,30.0,lower_bound_not_reached_within_grid,30.0
Figure 3,3D,PIEZO,sheet piezo,kernel_gp,kernel GP,mae_zbottom_mm,50,1200,0.7536717788333333,0.60497265709706,400.0,0.6646842809223155,0.014881196524459702,True,2.0,0.6737123192109108,200.0,True,4.0,observed,4.0
Figure 3,3D,PIEZO,sheet piezo,op_conditioned_diffusion_ours,operator-conditioned diffusion,mae_zbottom_mm,50,1200,0.6650570987432133,0.6124657447371916,200.0,0.6232072164167456,0.0022695668987422774,True,1.0,0.6737123192109108,50.0,True,1.0,observed,1.0
Figure 3,3D,PIEZO,sheet piezo,unet_3d,3D U-Net,mae_zbottom_mm,50,1200,1.4628029392558008,1.018951632545697,400.0,1.1125428843700467,0.004610519362191853,True,2.0,0.6737123192109108,1500.0,False,30.0,lower_bound_not_reached_within_grid,30.0
Figure 3,3D,PIEZO,sheet piezo,vanilla_3d_diffusion,vanilla 3D diffusion,mae_zbottom_mm,50,1200,0.6435799610057393,0.617315742588954,100.0,0.6171004886081611,-0.001083844915129835,True,0.5,0.6737123192109108,50.0,True,1.0,observed,1.0
Figure 3,3D,US,ultrasound,SRCNN_3D_proxy,SRCNN 3D proxy,mae_zbottom_mm,50,1200,1.6516366191576577,0.7111611159970909,800.0,1.014779527179219,0.04960793626139814,True,2.0,0.24215515691677836,1500.0,False,7.5,lower_bound_not_reached_within_grid,7.5
Figure 3,3D,US,ultrasound,direct_scalar_regression,direct scalar regression,mae_zbottom_mm,50,1200,3.148097547193642,1.3555067373546947,800.0,1.9342177954885118,0.049607936261398124,True,2.0,0.24215515691677836,1500.0,False,7.5,lower_bound_not_reached_within_grid,7.5
Figure 3,3D,US,ultrasound,dps_inverse_diffusion,DPS inverse diffusion,mae_zbottom_mm,50,1200,1.4263836459410548,0.4337382565066603,400.0,0.6956545686473279,0.04334846476952297,True,1.0,0.24215515691677836,1500.0,False,7.5,lower_bound_not_reached_within_grid,7.5
Figure 3,3D,US,ultrasound,eapp_only_diffusion,Eapp-only diffusion,mae_zbottom_mm,50,1200,1.0049249448223527,0.4187294289148529,800.0,0.6271639609669464,0.06039992536554995,False,2.0,0.24215515691677836,1500.0,False,7.5,lower_bound_not_reached_within_grid,7.5
Figure 3,3D,US,ultrasound,kernel_gp,kernel GP,mae_zbottom_mm,50,1200,1.579229389333925,0.548909249477313,800.0,0.8476505442980337,0.06983082823945164,False,2.0,0.24215515691677836,1500.0,False,7.5,lower_bound_not_reached_within_grid,7.5
Figure 3,3D,US,ultrasound,op_conditioned_diffusion_ours,operator-conditioned diffusion,mae_zbottom_mm,50,1200,0.3905776528652048,0.22014105174252577,400.0,0.26491804757462895,0.011707181263309925,True,1.0,0.24215515691677836,200.0,True,1.0,observed,1.0
Figure 3,3D,US,ultrasound,unet_3d,3D U-Net,mae_zbottom_mm,50,1200,1.9303338708468167,0.7111611159970911,800.0,1.1021460785390964,0.08597223666657669,False,2.0,0.24215515691677836,1500.0,False,7.5,lower_bound_not_reached_within_grid,7.5
Figure 3,3D,US,ultrasound,vanilla_3d_diffusion,vanilla 3D diffusion,mae_zbottom_mm,50,1200,0.5140988186484275,0.4960746479697787,400.0,0.5083676492663012,0.0018737678053148148,True,1.0,0.24215515691677836,1500.0,False,7.5,lower_bound_not_reached_within_grid,7.5
