figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,12,12,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,26.008090162628676,28.887547075637197,-0.027802830747150342,16.642365070653558,0.9568576388888889,90.11186006725404
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,12,12,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,27.600255018027386,32.067138984712805,0.27353407051441103,18.615502471218836,0.8586805555555556,92.1931447718925
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,12,12,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,34.36599114676634,43.434011408924185,0.32839606458131615,25.051207099607133,0.7504340277777778,95.5491856507677
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,12,12,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,24.13828053479789,28.665498236944913,0.2680860823374732,16.406564319715862,0.9575520833333333,89.10676214975373
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,12,12,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,27.52371950677033,32.027557377539175,0.2841942050675267,18.492937647295026,0.8711805555555555,91.56367167086829
Figure 2,2D,US,ultrasound,U-Net,U-Net,12,12,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,24.46810140012057,30.018678582348556,0.27567100529341126,16.92666341558987,0.9112847222222222,92.09696084532413
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,12,36,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,11.939569615833864,45.914038505560306,0.3922838660503383,27.282009822721093,1.0,213.57552198729965
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,12,36,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,62.06006475905951,66.52305404523074,0.20167291970434686,39.27934541112542,0.9290798611111111,213.57552198729965
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,12,36,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,63.12755594328517,68.03397656786635,0.18763545202214613,40.17574657628974,0.91640625,213.57552198729965
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,12,12,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,26.36674372981006,29.329271801145385,-0.5833021600346056,16.994412376026208,0.9561631944444444,89.07944453182287
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,12,12,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,28.797224740877652,33.7664561816919,0.27335674102487134,19.58063358737574,0.8424479166666666,91.3308721118373
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,12,12,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,25.50490480959217,31.641362434169462,0.25559229637422964,17.80906656734822,0.8847222222222222,91.83800635002262
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,12,36,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,4.2562978262415685,13.591288995025609,0.46812066235507416,6.608329601472657,0.8863715277777777,34.28220575175265
