figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm
Figure 3,3D,MMP,soft MMP,SRCNN_3D_proxy,SRCNN 3D proxy,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6422545469391203,0.7165254620700549,0.6219466988058456,0.05771382524431301,0.25182057418799064,0.8800557753234978
Figure 3,3D,PIEZO,sheet piezo,SRCNN_3D_proxy,SRCNN 3D proxy,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.1495652464330959,1.4435736019478023,1.1296221749497506,0.6557449494949495,4.190134821561791,0.8212105102929353
Figure 3,3D,US,ultrasound,SRCNN_3D_proxy,SRCNN 3D proxy,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.7137512708374099,1.6254615024756782,1.466261404845226,0.06222951055268122,0.5945756646700264,0.7986167935187544
Figure 3,3D,MMP,soft MMP,direct_scalar_regression,direct scalar regression,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.3900265043852187,1.7289077417413221,0.9872065484504444,0.8056607744107744,4.6421529700826865,0.45522714720908386
Figure 3,3D,PIEZO,sheet piezo,direct_scalar_regression,direct scalar regression,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.2299168849546125,1.4143364860652092,0.8690774771037684,0.7753928170594837,4.703067989494899,0.34370787886610876
Figure 3,3D,US,ultrasound,direct_scalar_regression,direct scalar regression,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,3.2664910123963837,3.2923781317985674,2.0466798957920322,0.7729727833894502,8.230346394579119,0.4798810075735781
Figure 3,3D,MMP,soft MMP,unet_3d,3D U-Net,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.8814854853749495,1.0122206076463545,0.8349924192571662,0.0018426131231008558,0.2513114721443565,0.8800557753234978
Figure 3,3D,PIEZO,sheet piezo,unet_3d,3D U-Net,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.1802648917143017,1.647096142708885,1.1949818436635933,0.6178661616161616,4.031999081974182,0.8212105102929353
Figure 3,3D,US,ultrasound,unet_3d,3D U-Net,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.894556758654278,1.9266618874914943,1.702353444163593,0.03855526812843868,0.6657735952844059,0.7986167935187544
Figure 3,3D,MMP,soft MMP,kernel_gp,kernel GP,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.7531958747237152,0.8450354100167801,0.473649460072909,0.8612589307711258,1.5925912580764239,0.9356028159306848
Figure 3,3D,PIEZO,sheet piezo,kernel_gp,kernel GP,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.722363833419391,1.0037362551013895,0.5383844092779274,0.885220258136925,3.033717058665543,0.9588478085047406
Figure 3,3D,US,ultrasound,kernel_gp,kernel GP,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.5344697441665485,1.641775557784698,0.984979164419872,0.7857607237688539,3.0839411595153647,0.969279688619634
