source_key,role,status,path,rows,unique_case_source_group,unique_case_id,method_types,n_method1_cases,n_method2_cases,n_trainable_cases,n_duplicate_hash_cases,n_strain_monotonicity_fail,depth_levels,strain_levels,E_levels,case_count_from_summary,condition_count,sample_count,contact_modes,unique_cases,compression_levels,datasets,canonical_terms,total_images_or_lesions,splits,projection_n,target_n,target_public_overlap_fraction,effective_sample_size_fraction,test_sample_count,subtype_count,pixel_accuracy_available
fig3_manifest,MMP / MN simulation manifest for Figure 2-3,FOUND,H:\My Drive\MN_simulation\data audit 050726 (1+2)\fig3_synthetic_manifest.csv,2380.0,445.0,445.0,method1_surface_projection;method2_3d_hard_block,,,,,,,,,,,,,,,,,,,,,,,,,
fig3_qc_summary,Existing Figure 3 QC summary,FOUND,H:\My Drive\MN_simulation\data audit 050726 (1+2)\fig3_qc_summary.json,,,,,414.0,31.0,445.0,209.0,38.0,,,,,,,,,,,,,,,,,,,,
rigidity_manifest,3D rigidity mapping base grid,FOUND,H:\My Drive\3D_rigidity_ mapping\derived\manifests\manifest_cases.csv,298.0,,,,,,,,,14.0,10.0,2.0,,,,,,,,,,,,,,,,,
rigidity_scalar,3D rigidity mapping scalar labels,FOUND,H:\My Drive\3D_rigidity_ mapping\derived\labels\manifest_cases_with_scalar.csv,298.0,,,,,,,,,14.0,10.0,2.0,,,,,,,,,,,,,,,,,
piezo_manifest,Sheet piezoelectric simulated benchmark manifest,FOUND,H:\My Drive\MN_simulation\piezo_passive_benchmark\outputs\n7_matched_20260525\piezo_case_manifest.csv,150.0,,,,,,,,,,5.0,,150.0,15.0,3.0,bonded;tilted,,,,,,,,,,,,,
piezo_full_manifest,Sheet piezoelectric full COMSOL export manifest,FOUND,H:\My Drive\MN_simulation\piezo_passive_benchmark\outputs\n7_matched_20260525\full_comsol\piezo_full_comsol_all_manifest.csv,150.0,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,
ultrasound_manifest,Ultrasound strain simulated benchmark manifest,FOUND,H:\My Drive\MN_simulation\ultrasound_strain_benchmark\outputs\n7_matched_20260525\us_case_manifest.csv,150.0,,,,,,,,,,,,150.0,15.0,3.0,bonded;tilted,,5.0,,,,,,,,,,,
ultrasound_full_manifest,Ultrasound strain full COMSOL export manifest,FOUND,H:\My Drive\MN_simulation\ultrasound_strain_benchmark\outputs\n7_matched_20260525\full_comsol\us_full_comsol_all_manifest.csv,150.0,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,
clinical_label_summary,Clinical ontology label support,FOUND,H:\My Drive\Clincal_ontology\harmonized_annotations_label_summary.csv,33.0,,,,,,,,,,,,,,,,,,4.0,21.0,5728.0,,,,,,,,
clinical_split_summary,Clinical ontology split label support,FOUND,H:\My Drive\Clincal_ontology\final_split_label_summary.csv,76.0,,,,,,,,,,,,,,,,,,,21.0,,3.0,,,,,,,
figure2_public_support,Figure 2 public embedding support summary,FOUND,H:\My Drive\Clincal_ontology\derived\figure2\figure2_v11_data_summary.json,,,,,,,,,,,,,,,,,,,,,,,3300.0,591.0,0.1353637901861252,0.14031954254409607,,,
rigidity_srcnn_summary,Existing 2D sparse reconstruction pilot,FOUND,H:\My Drive\rigidity_interpolation\analysis_reports\srcnn_8x8_reconstruction_report\validation_summary.json,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,3.0,True
