source,category_axis,category,n_rows,n_unique_configs
fig3_synthetic_manifest,MMP_simulation_method_target,method1_surface_projection | surface_effective_modulus,2070,414.0
fig3_synthetic_manifest,MMP_simulation_method_target,method2_3d_hard_block | depth_weighted_effective_modulus_proxy,310,31.0
fig3_synthetic_manifest,disease_or_family,basal_cell_carcinoma,480,96.0
fig3_synthetic_manifest,disease_or_family,benign_nevi,480,96.0
fig3_synthetic_manifest,disease_or_family,isic2018,25,5.0
fig3_synthetic_manifest,disease_or_family,melanoma,480,96.0
fig3_synthetic_manifest,disease_or_family,midas,100,20.0
fig3_synthetic_manifest,disease_or_family,ph2,25,5.0
fig3_synthetic_manifest,disease_or_family,squamous_cell_carcinoma,480,96.0
fig3_synthetic_manifest,disease_or_family,synthetic_3d_hard_block,310,31.0
fig3_synthetic_manifest,condition_state,cancer_homogenized,480,96.0
fig3_synthetic_manifest,condition_state,cancer_observed,480,96.0
fig3_synthetic_manifest,condition_state,normal_3kPa,480,96.0
fig3_synthetic_manifest,condition_state,normal_9p5kPa,480,96.0
fig3_synthetic_manifest,condition_state,,460,0.0
fig3_synthetic_manifest,geometry_id,CYL_BASE_N5_D1p000_H1p400_P2p000,160,32.0
fig3_synthetic_manifest,geometry_id,CYL_ISO_N6_D1p000_H1p400_P1p600,160,32.0
fig3_synthetic_manifest,geometry_id,CYL_ISO_N7_D1p000_H1p400_P1p333,160,32.0
fig3_synthetic_manifest,geometry_id,CYL_SELFSIM_N6_D0p818_H1p145_P1p636,160,32.0
fig3_synthetic_manifest,geometry_id,CYL_SELFSIM_N7_D0p692_H0p969_P1p385,160,32.0
fig3_synthetic_manifest,geometry_id,H1p00_SR0p50,80,16.0
fig3_synthetic_manifest,geometry_id,H1p00_SR1p00,80,16.0
fig3_synthetic_manifest,geometry_id,H1p40_SR0p10,80,16.0
fig3_synthetic_manifest,geometry_id,H1p40_SR0p50,400,80.0
fig3_synthetic_manifest,geometry_id,H1p40_SR1p00,400,80.0
fig3_synthetic_manifest,geometry_id,,540,0.0
fig3_synthetic_manifest,gap_dir_name,G0p50,400,80.0
fig3_synthetic_manifest,gap_dir_name,G1p00,400,80.0
fig3_synthetic_manifest,gap_dir_name,SR0p10,80,16.0
fig3_synthetic_manifest,gap_dir_name,SR0p50,480,96.0
fig3_synthetic_manifest,gap_dir_name,SR1p00,480,96.0
fig3_synthetic_manifest,gap_dir_name,,540,0.0
fig3_synthetic_manifest,strain,0.0,445,445.0
fig3_synthetic_manifest,strain,0.01,445,445.0
fig3_synthetic_manifest,strain,0.02,445,445.0
fig3_synthetic_manifest,strain,0.04,445,445.0
fig3_synthetic_manifest,strain,0.08,445,445.0
fig3_synthetic_manifest,strain,0.16,31,31.0
fig3_synthetic_manifest,strain,0.24,31,31.0
fig3_synthetic_manifest,strain,0.3,31,31.0
fig3_synthetic_manifest,strain,0.4,31,31.0
fig3_synthetic_manifest,strain,0.5,31,31.0
fig3_synthetic_manifest,split_role_prior,heldout_test,40,8.0
fig3_synthetic_manifest,split_role_prior,internal_test,25,5.0
