figure,axis,n_classes,min_current_n,max_current_n,overall_status,class_labels
Figure 2,contrast,3,31.0,90.0,YELLOW,matched/low contrast (<=2x); moderate contrast (2-8x); high contrast (>8x)
Figure 2,morphology phenotype,6,5.0,74.0,FAIL,circular/compact; heterogeneous; irregular boundary; low contrast; multifocal; other lesion prior
Figure 2,operator/readout,3,150.0,445.0,YELLOW,MMP soft magnetoelastic microneedle patch; sheet piezoelectric device; ultrasound strain device
Figure 2,source/support tier,3,0.0,5728.0,MISSING,clinical/mask-derived lesion priors; clinical ontology labels; real MMP phantom/animal/ex vivo anchors
Figure 3,contact/load/noise,3,197.0,1110.0,YELLOW,baseline; hard shift; mild shift
Figure 3,contrast,3,235.0,970.0,YELLOW,low/matched contrast (<=2x); moderate contrast (2-5x); high contrast (>5x)
Figure 3,depth,4,400.0,400.0,PASS,deep; mid; ood_deep; shallow
Figure 3,morphological complexity,4,172.0,414.0,FAIL,irregular boundary; heterogeneous core; rim stiffness; multifocality
Figure 3,operator/readout,3,181.0,181.0,PASS,MMP; PIEZO; US
Figure 3,thickness,3,202.0,812.0,FAIL,thin (<1.5 mm); medium (1.5-3.0 mm); thick (>3.0 mm)
