figure,task,method,train_N,seed,split_rule,primary_metrics
Figure 2,2D Eapp reconstruction,Baseline U-Net,50,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,50,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,50,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,100,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,100,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,100,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,200,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,200,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,200,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,500,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,500,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,500,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,1000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,1000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
