figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa,calibrated_score
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,50,50,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,5.684631796620934,7.630783455605871,0.23106578705390923,3.8773264427885867,0.9420138888888889,21.178103197935002,5.923465285298412
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,50,50,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,8.152082305807703,11.098698778741587,0.6094780002146333,5.952192230246929,0.9088541666666666,35.85306777285953,8.224262201223707
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,50,50,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,10.561934767357975,15.361346090191123,0.616775126561445,8.066182579103916,0.9053819444444444,49.99623211213346,10.618778513501741
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,50,50,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,19.815695681176475,8.501592499401646,0.5649119284527001,3.998658506542943,0.9207465277777778,18.1729109598494,5.824051463417249
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,50,50,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,8.161467083890328,11.41616864908704,0.6313050165209453,6.04603873276951,0.8328125,28.592022818946578,8.70981565358921
Figure 2,2D,US,ultrasound,U-Net,U-Net,50,50,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,12.91290908830119,20.519749224142398,0.6127089900326195,10.128750914714116,0.8067708333333333,34.65378095765447,14.116768841845936
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,50,150,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,4.646819762286833,23.69866387148127,0.6245724817366349,17.296372051600194,1.0,191.09533060593057,21.12557910860995
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,50,150,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,62.22172271520142,71.80407106226683,0.2005987924934847,42.2244815801798,0.7707465277777777,191.09533060593057,70.26409642378952
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,50,150,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,64.91210384109293,75.5617106465096,0.17066195637964582,44.630564451247395,0.7407118055555556,191.09533060593057,75.25183565953091
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,50,50,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,5.6070183066609,7.7580569677539515,-0.23875157163721217,3.8464487363530995,0.9207465277777778,17.75917195264459,5.723344467710549
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,50,50,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.1913763281316205,10.14089673376143,0.6317940804827972,5.255154262304998,0.8618923611111111,26.787195460835026,7.465422700358165
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,50,50,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,13.197030755561137,21.963275914612797,0.5940003131947847,10.475484059795727,0.8032986111111111,32.36801113695877,14.473201958833283
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,50,150,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,3.051421338866123,13.39269474302335,0.8543211201668123,5.222449236443462,0.9317708333333333,32.61198244874824,5.864774768001837
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,50,150,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,8.161706134483422,12.634709470568819,0.743258979052533,6.534870253457631,0.8173611111111111,32.61198244874824,8.836180460874761
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,50,150,50,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,8.358963055961341,13.215372916358247,0.7252652783586476,6.767814719672094,0.8074652777777778,32.61198244874824,9.132457380410541
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,100,100,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,3.12512078656323,4.589010730165247,0.4541723701655681,2.2355943627890094,0.9521701388888889,13.66978653442134,3.288158772042787
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,100,100,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.194945276553662,9.646739391678974,0.7109068355169962,5.3034065038059754,0.8872395833333333,30.596142458084394,7.286755776176352
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,100,100,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,9.646258980865591,13.524664006845228,0.681664522725546,7.350221278606056,0.8919270833333334,44.803240207801274,9.724132425763203
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,100,100,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,10.530836667371888,4.418074191786546,0.7763476365047466,2.1441779977498623,0.9197916666666667,10.372376644807334,3.0922336675662963
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,100,100,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,5.4236287405555395,7.912859657114196,0.8120618052410721,4.09100061108826,0.8625,21.079851153911086,5.627014818326373
Figure 2,2D,US,ultrasound,U-Net,U-Net,100,100,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.294511743837557,11.554526188905385,0.790912256647115,5.735724531354418,0.8285590277777778,27.24074612209517,7.81563875470373
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,100,300,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,4.5875759843609,23.779533306288446,0.6420840148315274,17.009201424818155,1.0,185.26147383967302,20.856242404951946
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,100,300,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,62.42554362882078,71.02073921805687,0.2089373338868548,42.09832610775151,0.7703993055555556,185.26147383967302,70.51593743418793
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,100,300,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,65.19592769909818,74.82248764873779,0.17878339173646454,44.57185480972537,0.7392361111111111,185.26147383967302,75.67707857572404
