figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm,calibrated_score
Figure 3,3D,MMP,soft MMP,SRCNN_3D_proxy,SRCNN 3D proxy,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6637108350736112,0.7168118290077901,0.6298163711549847,0.0,0.19248629714982093,0.8800557753234978,1.3829256840863695
Figure 3,3D,PIEZO,sheet piezo,SRCNN_3D_proxy,SRCNN 3D proxy,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.1835655855866878,1.4891968676797143,1.1779855011821552,0.5752525252525252,3.9549439329747633,0.8212105102929353,3.069823834791545
Figure 3,3D,US,ultrasound,SRCNN_3D_proxy,SRCNN 3D proxy,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.3467898135100496,1.402969595796383,1.2172933768584648,0.02056284388601448,0.4423788109295322,0.7986167935187544,1.5542181144378264
Figure 3,3D,MMP,soft MMP,direct_scalar_regression,direct scalar regression,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.4364641813698478,1.7295987179059356,0.9996979598401119,0.7242213804713804,3.54836311089975,0.45522714720908386,1.3829256840863695
Figure 3,3D,PIEZO,sheet piezo,direct_scalar_regression,direct scalar regression,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.2662937599070687,1.4590357305311834,0.9062859158884217,0.6949003928170594,4.439086330994893,0.34370787886610876,3.069823834791545
Figure 3,3D,US,ultrasound,direct_scalar_regression,direct scalar regression,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,2.567045111084241,2.8417199729080647,1.6991580583545394,0.7313061167227835,6.123578659400216,0.4798810075735781,1.5542181144378264
Figure 3,3D,MMP,soft MMP,unet_3d,3D U-Net,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.8139701033068364,0.8748837077094938,0.7722789984488895,0.0,0.21626116368767184,0.8800557753234978,1.219497683251969
Figure 3,3D,PIEZO,sheet piezo,unet_3d,3D U-Net,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.2295832010880894,1.5393832163807337,1.2250919181618185,0.5279040404040404,3.682035164075889,0.8212105102929353,3.049582883085135
Figure 3,3D,US,ultrasound,unet_3d,3D U-Net,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.637703608184796,1.8537598414530174,1.5750450840042756,0.0,0.5670124844316561,0.7986167935187544,1.426631114729168
Figure 3,3D,MMP,soft MMP,kernel_gp,kernel GP,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.8032702664161233,0.879361704023395,0.5205254634707059,0.7911831731953683,1.472866770074128,0.9356028159306848,1.0683186711131432
Figure 3,3D,PIEZO,sheet piezo,kernel_gp,kernel GP,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.7299249204816105,0.9847275950982453,0.5417451020248157,0.8369248035914704,2.887055534595478,0.9588478085047406,2.136319243058582
Figure 3,3D,US,ultrasound,kernel_gp,kernel GP,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.107457043012512,1.2455123837045172,0.7250317677922533,0.822692541950672,2.373331153936788,0.969279688619634,1.0108843630515072
Figure 3,3D,MMP,soft MMP,vanilla_3d_diffusion,vanilla 3D diffusion,100,300,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.5452057330885651,0.5726986983007304,0.3313285541499028,0.9062710437710438,1.6698002566101982,0.5816361082754525,2.277328406949371
Figure 3,3D,PIEZO,sheet piezo,vanilla_3d_diffusion,vanilla 3D diffusion,100,300,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6478021633232007,0.9934519012858366,0.4747148463708558,0.8048872875092387,2.0815591043836825,0.965120411995412,3.944691156561433
Figure 3,3D,US,ultrasound,vanilla_3d_diffusion,vanilla 3D diffusion,100,300,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.4964306240437714,0.5375942456752972,0.31636416049367244,0.8247053872053873,1.7027049567670824,0.7653517551058536,3.4158421952166114
Figure 3,3D,MMP,soft MMP,dps_inverse_diffusion,DPS inverse diffusion,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.5462185176835018,0.5955495970849054,0.3531645649328302,0.7581242643234513,0.9333492943962615,0.9238788238788238,1.2297706457459652
Figure 3,3D,PIEZO,sheet piezo,dps_inverse_diffusion,DPS inverse diffusion,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.47976878920377175,0.6337910955575999,0.3540647559744239,0.8571057800224465,2.0207787199095986,0.9959051424269704,1.5181165100744287
Figure 3,3D,US,ultrasound,dps_inverse_diffusion,DPS inverse diffusion,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.8362972291296084,0.8703388005538255,0.5240042971659802,0.8000605649995894,1.7470056412948038,0.9635620779746464,0.8855952688933939
