figure,dimension,device,device_label,model,model_label,MAE_metric,MAE_at_min_N,MAE_at_max_N,MAE_N90,MAE_N90_reached,MAE_N90_source,MAE_N95,MAE_N95_reached,MAE_N95_source,MAE_AULC,MAE_last_doubling_gain_fraction,MAE_seed_sd_at_max_N,MAE_seed_sd_fraction_at_max_N,MAE_m_inf,MAE_power_a,MAE_power_alpha,MAE_fit_rmse,CRPS_metric,CRPS_at_min_N,CRPS_at_max_N,CRPS_N90,CRPS_N90_reached,CRPS_N90_source,CRPS_N95,CRPS_N95_reached,CRPS_N95_source,CRPS_AULC,CRPS_last_doubling_gain_fraction,CRPS_seed_sd_at_max_N,CRPS_seed_sd_fraction_at_max_N,CRPS_m_inf,CRPS_power_a,CRPS_power_alpha,CRPS_fit_rmse,calibrated_score_metric,calibrated_score_at_min_N,calibrated_score_at_max_N,calibrated_score_N90,calibrated_score_N90_reached,calibrated_score_N90_source,calibrated_score_N95,calibrated_score_N95_reached,calibrated_score_N95_source,calibrated_score_AULC,calibrated_score_last_doubling_gain_fraction,calibrated_score_seed_sd_at_max_N,calibrated_score_seed_sd_fraction_at_max_N,calibrated_score_m_inf,calibrated_score_power_a,calibrated_score_power_alpha,calibrated_score_fit_rmse,DER_MAE,DER_MAE_note,DER_CRPS,DER_CRPS_note,DER_calibrated_score,DER_calibrated_score_note,priority1_plateau_pass,priority1_strict_plateau_pass,priority1_seed_sd_pass,max_requested_N,priority1_current_N_ge_N90,unique_source_cases_available,unique_source_cases_ge_N90,claim_data_efficiency_pass_DER_CRPS_ge2
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,MAE_kPa,7.7952239656526485,3.552379696842474,500.0,True,observed,500.0,True,observed,4.304129413302233,-0.01662271034208055,1.7720095926815804,0.49882325198982186,3.4244091416511844,70.72138543149184,0.7977687966062472,0.48275069523769004,CRPS_kPa,5.8500502452255185,3.2687104147392847,500.0,True,observed,500.0,True,observed,3.536057275438825,-0.03482638960942583,1.71781443033646,0.5255327674762753,1.9961999149780514,5.4791880223282545,0.19729093830897027,0.5481628179677892,calibrated_score,8.343554884777786,4.18696702074558,500.0,True,observed,500.0,True,observed,4.817925289494588,-0.03425276963369098,2.4954863114448256,0.5960128893015381,3.95747803308943,40.48447100807847,0.7026760467495008,0.6797753860283228,0.1,observed,0.1,observed,0.1,observed,True,True,False,10000,True,207,False,False
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,MAE_kPa,8.390151887857991,4.5320384909332985,5000.0,True,observed,10000.0,True,observed,6.094063702051453,0.07200551624547154,0.4778813345275437,0.10544511823621602,2.953822734090644,12.489893264956878,0.21914725925620235,0.11764776328038459,CRPS_kPa,6.155139128585727,3.579911075595028,10000.0,True,observed,10000.0,True,observed,4.666249692302538,0.07166633107551992,0.4503824941493606,0.12580829094323276,2.109440038829608,7.9324330074520155,0.17844558562717652,0.08408662790162695,calibrated_score,8.441677753553897,4.651840167793149,10000.0,True,observed,10000.0,True,observed,6.2772750448169425,0.08810506835112245,0.591099718743329,0.12706793385460383,2.2321014586637715,11.476422058162298,0.16392368864308232,0.13788922850347624,1.0,observed,2.0,observed,2.0,observed,False,False,False,10000,True,207,False,True
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,MAE_kPa,8.320985929284864,3.9739811319707403,500.0,True,observed,500.0,True,observed,4.632158032422928,-0.025509812592023996,1.5766823558702658,0.3967513441837536,3.3139190752779584,14.68970594607729,0.4025331363212787,0.7578566466367406,CRPS_kPa,6.287255062257269,3.707732431301435,200.0,True,observed,500.0,True,observed,3.8378055574650003,-0.045539428474811655,1.5118258765830834,0.4077494545776659,1.546104560472674,5.461818057065415,0.1310975135051106,0.6456895057016137,calibrated_score,8.978202730890217,4.449205025413148,500.0,True,observed,500.0,True,observed,5.10349725991612,-0.026098240661502157,2.1022692391669913,0.47250446476598973,3.7663488839093002,14.46357386607139,0.3963294446548208,0.8136038243522963,0.1,observed,0.04,observed,0.1,observed,True,True,False,10000,True,207,False,False
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,MAE_kPa,8.551485988742213,7.955170652422716,5000.0,True,observed,10000.0,True,observed,8.188996034547413,0.007254592874895361,0.5943054602544928,0.07470681475242764,7.796067239374262,2.3553614780598657,0.28887070664733167,0.04441432847291364,CRPS_kPa,6.850750576129109,6.392769263879756,5000.0,True,observed,10000.0,True,observed,6.597471189729147,0.006418899096172243,0.3884486136832297,0.06076374692232849,6.164993283385217,1.748164137671536,0.22327118313997174,0.054130562704872376,calibrated_score,9.301736435265695,8.5103398396066,5000.0,True,observed,10000.0,True,observed,8.804683048812526,0.0060774659796395646,0.7244630357795159,0.08512739202351348,8.340133042814466,3.5214162014218346,0.3300393326325719,0.0735411471598103,1.0,observed,1.0,observed,1.0,observed,True,True,True,10000,True,207,False,False
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,MAE_kPa,62.002975637248845,59.75574516419682,10000.0,True,observed,10000.0,True,observed,61.98157532943761,0.024149987610444828,3.8242528673777256,0.063998078458723,2.987787258209841,61.364408436916904,0.00639460747261197,0.6493086851701473,CRPS_kPa,41.430436227820586,38.737079374332446,10000.0,True,observed,10000.0,True,observed,40.56274100850717,0.02613076239673928,3.276827483769579,0.08459149571149227,1.9368539687166224,41.60349780421006,0.011612690814109327,0.3445724704826195,calibrated_score,68.12745536232492,63.67725310755975,10000.0,True,observed,10000.0,True,observed,66.83019065336538,0.029984063690948456,4.831196660850875,0.07587005445555747,3.183862655377988,68.68768154611088,0.011973335428116303,0.8445338165359219,2.0,observed,2.0,observed,2.0,observed,True,True,True,10000,True,207,False,True
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,MAE_kPa,5.949884024862279,0.8213497500607653,500.0,True,observed,2000.0,True,observed,1.8647825155536155,0.05781369341111395,0.5489019546901514,0.6682925935626599,0.7920848514031379,217.6437518083466,0.9532396113235809,0.0388116235095445,CRPS_kPa,4.064300699990665,0.7584786239736437,500.0,True,observed,2000.0,True,observed,1.4305870882433434,0.039027112064393396,0.5248380081135975,0.6919615023083828,0.7373814454412675,131.94103860861784,0.943674991951186,0.04395577320749135,calibrated_score,6.186825657970753,1.0234427903227123,500.0,True,observed,1000.0,True,observed,2.0075086395013653,0.02070871202682821,0.8091061354908783,0.7905729007439201,1.002973934516258,357.09381109259533,1.078123327896904,0.10304866478968193,0.5,observed,1.0,observed,0.5,observed,False,False,False,10000,True,207,False,False
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,MAE_kPa,5.919716099627819,0.8455872256054895,500.0,True,observed,2000.0,True,observed,1.900424394386941,0.11092635192477242,0.37721780762075435,0.44610159212214273,0.8220671103386478,181.30071045427619,0.911964960080454,0.06425121327603739,CRPS_kPa,4.026841734964539,0.7762213648822659,1000.0,True,observed,5000.0,True,observed,1.5124406564425632,0.11246581656234457,0.3258378005643221,0.41977432637884665,0.7485644019654524,74.39811030109534,0.7995447836130285,0.05977644821373864,calibrated_score,6.155176227083122,0.8805521785050803,500.0,True,observed,2000.0,True,observed,1.973577493890929,0.11023615582144727,0.403085520796008,0.4577644921398402,0.8560595086659895,187.91485712147568,0.9124037040979436,0.0636917313709643,0.5,observed,2.0,observed,0.5,observed,False,False,False,10000,True,207,False,True
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,MAE_kPa,20.75542566667821,2.3883592721209594,1000.0,True,observed,2000.0,True,observed,6.359308443960424,0.12645011881158374,1.1522801370617821,0.4824567855063576,2.247265442851965,544.3289162185089,0.8651360455073464,0.09749214803755957,CRPS_kPa,4.126791696543594,0.6391056011510476,1000.0,True,observed,2000.0,True,observed,1.4136457586952624,0.11609657625005773,0.3145554685542354,0.49218074131679007,0.6113394166304518,93.47918777395189,0.8376324106770917,0.03148410280224831,calibrated_score,6.174432632216177,0.7702966274908046,1000.0,True,observed,2000.0,True,observed,1.9224885291346185,0.11319447114634652,0.41930974801339105,0.5443484146870377,0.736830799220826,184.09097390450836,0.8971221601006221,0.037918687665018616,1.0,observed,2.0,observed,1.0,observed,False,False,False,10000,True,207,False,True
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,MAE_kPa,2.666069062441296,1.727557681491713,1000.0,True,observed,2000.0,True,observed,1.9542883195062732,-0.02824085125060854,0.5232186975706883,0.3028661231843205,1.6465077474822578,10.339006224523212,0.6052752988284332,0.04790777448320924,CRPS_kPa,4.555835848788537,3.5590449025578312,500.0,True,observed,500.0,True,observed,3.6737420507330527,-0.04290985286207571,0.6134704784124907,0.17236941235880412,3.3443580909077313,4.765455907347498,0.45609040096429526,0.17501376485269132,calibrated_score,5.145900206775482,3.4261758039798473,1000.0,True,observed,2000.0,True,observed,3.8473115445413404,-0.025259687574085112,0.9935134791497344,0.28997737885944697,3.274928614276202,18.330746780409914,0.5950567543199162,0.08252141003333324,1.0,observed,1.0,observed,1.0,observed,True,True,False,10000,True,207,False,False
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,MAE_kPa,5.335173049421125,6.710531003436077,50.0,True,observed,50.0,True,observed,6.003871524792121,-0.04045076785872853,2.4855849363916627,0.370400633738066,,,,,CRPS_kPa,18.52493468205464,22.033302737697625,50.0,True,observed,50.0,True,observed,19.988626073403513,-0.029152829100330666,5.894148593283565,0.2675108976376492,,,,,calibrated_score,24.25500150197404,29.442269952113353,50.0,True,observed,50.0,True,observed,27.095533993397588,-0.02305641693588989,9.554690062912687,0.3245228740329125,,,,,0.05,observed,0.1,observed,0.05,observed,True,False,False,10000,True,207,True,False
