case_id,config_id,split_id,seed_id,depth_group,operator,method,source_label,true_zbottom_mm,true_ztop_mm,true_thickness_mm,posterior_mean_zbottom_mm,posterior_std_zbottom_mm,posterior_q025_mm,posterior_q05_mm,posterior_q10_mm,posterior_q25_mm,posterior_q50_mm,posterior_q75_mm,posterior_q90_mm,posterior_q95_mm,posterior_q975_mm,cov50,cov80,cov90,cov95,width50_mm,width80_mm,width90_mm,width95_mm,pit,crps_mm,wis90_mm,absolute_error_mm,squared_error_mm2,bias_mm,interval_iou,d_out_mm,failure_label_tau_0p5mm,failure_label_tau_1mm,failure_label_tau_2mm,forward_residual,calibration_scale
eval_000,shallow_0231,train,20260531,shallow,MMP,direct_scalar_regression,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,3.510181427001953,0.798147439956665,2.1532555103302,2.255874454975128,2.412311840057373,2.9647096395492554,3.4982000589370728,4.026622653007507,4.518211126327515,4.7311650753021235,4.889741325378418,False,False,False,False,1.061913013458252,2.105899286270142,2.4752906203269953,2.7364858150482183,0.0078125,1.2827659588525882,13.596868305747435,1.7247475473343723,2.974754102035933,1.7247475473343723,0.0,0.0,True,True,False,0.14257146802181414,1.3250000000000002
eval_000,shallow_0231,train,20260532,shallow,MMP,direct_scalar_regression,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,3.671309471130371,0.8288357257843018,2.1661092162132265,2.332370948791504,2.6210077524185182,3.000890552997589,3.6474921703338623,4.330091595649719,4.632191228866577,4.943398761749267,5.012905848026276,False,False,False,False,1.3292010426521301,2.0111834764480587,2.6110278129577633,2.8467966318130493,0.0078125,1.4178993720430761,15.41182748610251,1.8858755914627903,3.556526746475129,1.8858755914627903,0.0,0.0,True,True,False,0.14414261263265102,1.3250000000000002
eval_000,shallow_0231,train,20260533,shallow,MMP,direct_scalar_regression,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,3.7814154624938965,0.7409045696258545,2.309715658426285,2.4918622970581055,2.7974745988845826,3.352610230445862,3.7823429107666016,4.172738075256348,4.735890960693359,5.058973932266235,5.253340697288514,False,False,False,False,0.8201278448104858,1.9384163618087764,2.5671116352081293,2.943625038862229,0.0,1.583838176288082,18.692589014117644,1.9959815828263157,3.9839424789818443,1.9959815828263157,0.0,0.0,True,True,False,0.15630667614993604,1.3250000000000002
eval_000,shallow_0231,train,20260531,shallow,MMP,unet_3d,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.3836848735809326,0.03678889572620392,1.320560172200203,1.3305518686771394,1.3403041362762451,1.3597145080566406,1.3818524479866028,1.408479005098343,1.4331040501594543,1.4419542968273162,1.4633861780166626,False,False,False,False,0.04876449704170227,0.09279991388320918,0.11140242815017687,0.14282600581645966,1.0,0.38107934276897204,7.384575516636446,0.4017490060866482,0.1614022638916097,-0.4017490060866482,0.6947321418595017,0.0,False,False,False,0.06643799785663476,0.4
eval_000,shallow_0231,train,20260532,shallow,MMP,unet_3d,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.184051990509033,0.03590735048055649,2.097617727518082,2.121771502494812,2.1367135524749754,2.1634563207626343,2.188202738761902,2.2083547711372375,2.2219610929489138,2.2313185214996336,2.2491663873195646,False,False,False,False,0.04489845037460327,0.08524754047393834,0.10954701900482178,0.1515486598014828,0.0,0.3788449693604701,7.239068334643763,0.3986181108414524,0.15889639829080843,0.3986181108414524,0.600658494350189,0.0,False,False,False,0.06255925325635539,0.4
eval_000,shallow_0231,train,20260533,shallow,MMP,unet_3d,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.1769614219665527,0.030598394572734833,2.1211435914039614,2.1268805980682375,2.13784499168396,2.1564282178878784,2.175378918647766,2.1993780732154846,2.2130023002624513,2.225059282779694,2.2360561966896055,False,False,False,False,0.0429498553276062,0.07515730857849112,0.0981786847114563,0.11491260528564418,0.0,0.3742347657610292,7.317058091704775,0.3915275422989719,0.15329381637867323,0.3915275422989719,0.6202802281769498,0.0,False,False,False,0.06552960010896834,0.4
eval_000,shallow_0231,train,20260531,shallow,MMP,kernel_gp,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.0219199657440186,0.214493066072464,1.5972173035144805,1.7010880172252656,1.7341494917869569,1.871558427810669,2.0367995500564575,2.157021224498749,2.2945759773254393,2.386216199398041,2.430284982919693,False,True,True,True,0.28546279668807983,0.5604264855384824,0.6851281821727753,0.8330676794052125,0.1640625,0.14480478855426793,0.936493852561652,0.23648608607643773,0.055925668907752316,0.23648608607643773,0.7461795374637675,0.0,False,False,False,0.05416253498108835,0.525
eval_000,shallow_0231,train,20260532,shallow,MMP,kernel_gp,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.5455870628356934,0.2162029892206192,1.1187766194343567,1.1858199417591095,1.2830958724021913,1.4072777330875397,1.5404109954833984,1.7051366865634918,1.8156277298927308,1.9264179587364192,1.9573099821805955,False,True,True,True,0.29785895347595215,0.5325318574905396,0.7405980169773096,0.8385333627462388,0.859375,0.14524219871514038,0.985620901161492,0.23984681683188747,0.057526495544388975,-0.23984681683188747,0.8173270612169449,0.0,False,False,False,0.05084891974209213,0.525
eval_000,shallow_0231,train,20260533,shallow,MMP,kernel_gp,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.154855728149414,0.22471638023853302,1.7397423297166825,1.7862444162368774,1.8574573278427124,2.012122631072998,2.1664719581604004,2.284110426902771,2.4350993633270264,2.54234572649002,2.6524437904357914,False,False,False,True,0.27198779582977295,0.5776420354843139,0.7561013102531429,0.9127014607191088,0.0546875,0.24891263966298882,1.153350120131893,0.36942184848183324,0.13647250213573456,0.36942184848183324,0.6248536598797835,0.0,False,False,False,0.06433832498357124,0.525
eval_000,shallow_0231,train,20260531,shallow,MMP,vanilla_3d_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.4166975021362305,0.4627200961112976,1.5642214268445969,1.6511537611484528,1.819711983203888,2.007829189300537,2.46002995967865,2.795027732849121,2.9868929386138916,3.071720552444458,3.127910715341568,False,False,True,True,0.787198543548584,1.1671809554100037,1.4205667912960054,1.5636892884969713,0.0859375,0.3958622931380489,2.0951628713070747,0.6312636224686496,0.3984937610522418,0.6312636224686496,0.44069364598306715,0.0,True,False,False,0.07795876958674458,0.4
