condition_id,config_id,split_group_id,same_prior_group,disease,A_contrast,H,z_top,z_bottom,tumor_thickness,targeted_shape,targeted_lateral_position,targeted_heterogeneity_mode,targeted_heterogeneity_scale,ood_split_family,split_role,operator_noise_group,layer_modulus_variation_x,paired_operator_set,policy,model_training_allowed,diffusion_training_allowed
F3NCS_0000_iid_support_two_foci_zb02p9_E10p3,F3NCS_0000_iid_support_two_foci_zb02.9_E10.3,iid_support|two_foci|hotspot|nominal,iid_support|two_foci|hotspot|nominal,iid_support,10.25777,2.6286,0.24452,2.87313,2.6286,two_foci,center,hotspot,0.44909,iid_support,train,nominal,1.23517,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0001_iid_support_two_foci_zb02p8_E25p1,F3NCS_0001_iid_support_two_foci_zb02.8_E25.1,iid_support|two_foci|homogeneous|nominal,iid_support|two_foci|homogeneous|nominal,iid_support,25.07582,2.04251,0.74037,2.78288,2.04251,two_foci,half_pitch_x_shift,homogeneous,0.0,iid_support,train,nominal,1.0274,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0002_iid_support_cylinder_zb06p0_E09p7,F3NCS_0002_iid_support_cylinder_zb06.0_E09.7,iid_support|cylinder|hotspot|nominal,iid_support|cylinder|hotspot|nominal,iid_support,9.71322,2.93315,3.06682,5.99997,2.93315,cylinder,center,hotspot,0.73465,iid_support,train,nominal,1.09134,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0003_iid_support_two_foci_zb05p7_E07p5,F3NCS_0003_iid_support_two_foci_zb05.7_E07.5,iid_support|two_foci|rim_soft|nominal,iid_support|two_foci|rim_soft|nominal,iid_support,7.46524,3.058,2.65101,5.70901,3.058,two_foci,near_boundary,rim_soft,0.34559,iid_support,train,nominal,0.8617,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0004_iid_support_two_foci_zb06p6_E21p9,F3NCS_0004_iid_support_two_foci_zb06.6_E21.9,iid_support|two_foci|homogeneous|nominal,iid_support|two_foci|homogeneous|nominal,iid_support,21.86375,0.76142,5.81239,6.57381,0.76142,two_foci,half_pitch_x_shift,homogeneous,0.0,iid_support,train,nominal,0.71767,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0005_iid_support_ellipse_zb07p0_E76p7,F3NCS_0005_iid_support_ellipse_zb07.0_E76.7,iid_support|ellipse|homogeneous|nominal,iid_support|ellipse|homogeneous|nominal,iid_support,76.66733,2.69282,4.28992,6.98274,2.69282,ellipse,near_boundary,homogeneous,0.0,iid_support,train,nominal,1.17988,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0006_iid_support_two_foci_zb07p0_E64p3,F3NCS_0006_iid_support_two_foci_zb07.0_E64.3,iid_support|two_foci|homogeneous|nominal,iid_support|two_foci|homogeneous|nominal,iid_support,64.3163,2.85136,4.10274,6.9541,2.85136,two_foci,center,homogeneous,0.0,iid_support,validation,nominal,1.06806,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0007_iid_support_two_foci_zb06p9_E08p1,F3NCS_0007_iid_support_two_foci_zb06.9_E08.1,iid_support|two_foci|hotspot|nominal,iid_support|two_foci|hotspot|nominal,iid_support,8.09541,0.84517,6.00957,6.85474,0.84517,two_foci,center,hotspot,0.57703,iid_support,train,nominal,0.60012,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0008_iid_support_ellipse_zb06p4_E09p6,F3NCS_0008_iid_support_ellipse_zb06.4_E09.6,iid_support|ellipse|homogeneous|nominal,iid_support|ellipse|homogeneous|nominal,iid_support,9.62781,2.79506,3.64737,6.44243,2.79506,ellipse,center,homogeneous,0.0,iid_support,train,nominal,0.78092,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0009_iid_support_ellipse_zb07p3_E22p5,F3NCS_0009_iid_support_ellipse_zb07.3_E22.5,iid_support|ellipse|rim_soft|nominal,iid_support|ellipse|rim_soft|nominal,iid_support,22.5255,2.97274,4.28585,7.25858,2.97274,ellipse,near_boundary,rim_soft,0.57988,iid_support,iid_test,nominal,0.94941,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0010_iid_support_cylinder_zb06p1_E14p0,F3NCS_0010_iid_support_cylinder_zb06.1_E14.0,iid_support|cylinder|core_shell|nominal,iid_support|cylinder|core_shell|nominal,iid_support,14.01209,3.23093,2.85217,6.0831,3.23093,cylinder,half_pitch_x_shift,core_shell,0.48928,iid_support,iid_test,nominal,1.23202,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0011_iid_support_two_foci_zb05p5_E07p3,F3NCS_0011_iid_support_two_foci_zb05.5_E07.3,iid_support|two_foci|lateral_gradient|nominal,iid_support|two_foci|lateral_gradient|nominal,iid_support,7.33054,0.66314,4.88515,5.54829,0.66314,two_foci,center,lateral_gradient,0.20675,iid_support,train,nominal,1.15105,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0012_iid_support_two_foci_zb03p8_E09p0,F3NCS_0012_iid_support_two_foci_zb03.8_E09.0,iid_support|two_foci|homogeneous|nominal,iid_support|two_foci|homogeneous|nominal,iid_support,8.96328,2.83276,1.01477,3.84753,2.83276,two_foci,center,homogeneous,0.0,iid_support,train,nominal,0.87877,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0013_iid_support_two_foci_zb04p5_E58p2,F3NCS_0013_iid_support_two_foci_zb04.5_E58.2,iid_support|two_foci|homogeneous|nominal,iid_support|two_foci|homogeneous|nominal,iid_support,58.2451,1.94775,2.54279,4.49053,1.94775,two_foci,near_boundary,homogeneous,0.0,iid_support,train,nominal,0.9512,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0014_iid_support_ellipse_zb06p0_E08p5,F3NCS_0014_iid_support_ellipse_zb06.0_E08.5,iid_support|ellipse|lateral_gradient|nominal,iid_support|ellipse|lateral_gradient|nominal,iid_support,8.5272,3.14104,2.85271,5.99375,3.14104,ellipse,center,lateral_gradient,0.5935,iid_support,train,nominal,1.13766,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0015_iid_support_cylinder_zb01p5_E13p2,F3NCS_0015_iid_support_cylinder_zb01.5_E13.2,iid_support|cylinder|rim_soft|nominal,iid_support|cylinder|rim_soft|nominal,iid_support,13.16643,1.12678,0.35883,1.48561,1.12678,cylinder,near_boundary,rim_soft,0.63919,iid_support,train,nominal,1.16265,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0016_iid_support_two_foci_zb07p7_E13p3,F3NCS_0016_iid_support_two_foci_zb07.7_E13.3,iid_support|two_foci|checker|nominal,iid_support|two_foci|checker|nominal,iid_support,13.33043,3.11278,4.63012,7.7429,3.11278,two_foci,half_pitch_x_shift,checker,0.51603,iid_support,train,nominal,1.34136,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0017_iid_support_two_foci_zb06p6_E25p4,F3NCS_0017_iid_support_two_foci_zb06.6_E25.4,iid_support|two_foci|lateral_gradient|nominal,iid_support|two_foci|lateral_gradient|nominal,iid_support,25.38346,1.13951,5.49301,6.63252,1.13951,two_foci,near_boundary,lateral_gradient,0.24769,iid_support,train,nominal,0.7505,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0018_iid_support_cylinder_zb03p2_E20p0,F3NCS_0018_iid_support_cylinder_zb03.2_E20.0,iid_support|cylinder|core_shell|nominal,iid_support|cylinder|core_shell|nominal,iid_support,20.00578,2.76081,0.46923,3.23004,2.76081,cylinder,center,core_shell,0.45331,iid_support,train,nominal,0.96071,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0019_iid_support_two_foci_zb05p4_E27p2,F3NCS_0019_iid_support_two_foci_zb05.4_E27.2,iid_support|two_foci|rim_soft|nominal,iid_support|two_foci|rim_soft|nominal,iid_support,27.15669,2.54379,2.8147,5.35849,2.54379,two_foci,half_pitch_x_shift,rim_soft,0.67736,iid_support,iid_test,nominal,1.00184,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0020_iid_support_two_foci_zb05p4_E61p9,F3NCS_0020_iid_support_two_foci_zb05.4_E61.9,iid_support|two_foci|core_shell|nominal,iid_support|two_foci|core_shell|nominal,iid_support,61.88724,2.93488,2.43346,5.36834,2.93488,two_foci,near_boundary,core_shell,0.30694,iid_support,train,nominal,0.8319,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0021_iid_support_ellipse_zb05p6_E31p9,F3NCS_0021_iid_support_ellipse_zb05.6_E31.9,iid_support|ellipse|homogeneous|nominal,iid_support|ellipse|homogeneous|nominal,iid_support,31.90755,2.59057,2.96911,5.55968,2.59057,ellipse,half_pitch_x_shift,homogeneous,0.0,iid_support,iid_test,nominal,0.68861,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0022_iid_support_cylinder_zb07p6_E14p8,F3NCS_0022_iid_support_cylinder_zb07.6_E14.8,iid_support|cylinder|homogeneous|nominal,iid_support|cylinder|homogeneous|nominal,iid_support,14.76116,2.90251,4.67543,7.57795,2.90251,cylinder,near_boundary,homogeneous,0.0,iid_support,train,nominal,0.85684,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0023_iid_support_cylinder_zb05p0_E06p6,F3NCS_0023_iid_support_cylinder_zb05.0_E06.6,iid_support|cylinder|lateral_gradient|nominal,iid_support|cylinder|lateral_gradient|nominal,iid_support,6.59193,2.55638,2.47554,5.03192,2.55638,cylinder,center,lateral_gradient,0.59453,iid_support,iid_test,nominal,1.04695,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0024_iid_support_cylinder_zb03p4_E43p6,F3NCS_0024_iid_support_cylinder_zb03.4_E43.6,iid_support|cylinder|lateral_gradient|nominal,iid_support|cylinder|lateral_gradient|nominal,iid_support,43.63929,2.79518,0.59414,3.38933,2.79518,cylinder,near_boundary,lateral_gradient,0.49215,iid_support,validation,nominal,0.6641,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0025_iid_support_two_foci_zb02p2_E75p2,F3NCS_0025_iid_support_two_foci_zb02.2_E75.2,iid_support|two_foci|core_shell|nominal,iid_support|two_foci|core_shell|nominal,iid_support,75.2026,1.87485,0.35113,2.22598,1.87485,two_foci,half_pitch_x_shift,core_shell,0.30943,iid_support,train,nominal,0.6701,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0026_iid_support_two_foci_zb02p5_E58p3,F3NCS_0026_iid_support_two_foci_zb02.5_E58.3,iid_support|two_foci|homogeneous|nominal,iid_support|two_foci|homogeneous|nominal,iid_support,58.28595,1.92209,0.59694,2.51904,1.92209,two_foci,center,homogeneous,0.0,iid_support,train,nominal,0.77974,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
