model,method_label,scenario_key,scenario_label,n_rows,n_seeds,mae_norm_mean,mae_norm_std,mae_norm_sem,rmse_norm_mean,rmse_norm_std,rmse_norm_sem,psnr_norm_mean,psnr_norm_std,psnr_norm_sem,ssim_norm_mean,ssim_norm_std,ssim_norm_sem,mae_kpa_mean,mae_kpa_std,mae_kpa_sem,rmse_kpa_mean,rmse_kpa_std,rmse_kpa_sem,spearman_pixel_mean,spearman_pixel_std,spearman_pixel_sem,crps_norm_mean,crps_norm_std,crps_norm_sem,posterior_std_norm_mean_mean,posterior_std_norm_mean_std,posterior_std_norm_mean_sem,uncertainty_error_spearman_mean,uncertainty_error_spearman_std,uncertainty_error_spearman_sem,failure_auroc_top10_abs_error_mean,failure_auroc_top10_abs_error_std,failure_auroc_top10_abs_error_sem,uce_mean,uce_std,uce_sem,ause_abs_error_mean,ause_abs_error_std,ause_abs_error_sem,pit_mean_mean,pit_mean_std,pit_mean_sem
train_mean_prior,Mean prior,iid_test,ID held-out,5,5,0.1440892666578292,0.0,0.0,0.2195225340582517,0.0,0.0,13.170417853325853,1.7763568394002505e-15,8.881784197001252e-16,0.0332627339073671,0.0,0.0,4.060465335845947,0.0,0.0,11.480061371004568,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
srcnn_bz_single_channel,SRCNN,iid_test,ID held-out,5,5,0.12076577842235559,0.004788259185512353,0.0023941295927561762,0.20515349582748668,0.0005557578528068237,0.00027787892640341184,13.75845344982397,0.023537733735450758,0.011768866867725377,0.15500849061287364,0.028894534753971926,0.014447267376985961,3.800243949890137,0.06319555369734398,0.03159777684867199,11.043185094602576,0.03304294140093235,0.016521470700466175,0.3310519933141013,0.0035659489918488385,0.0017829744959244193,0.12076577544212334,0.004788260574862972,0.0023941302874314857,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.20356526638427058,0.000659692571955495,0.0003298462859777475,0.0952768471825586,0.0012388915135030255,0.0006194457567515127,0.14119967222213742,0.0013222951619384637,0.0006611475809692318
unet_canonical_bxyz,U-Net,iid_test,ID held-out,5,5,0.07435868382453914,0.003281385307955674,0.001640692653977837,0.15452658292989818,0.0016168030228955845,0.0008084015114477923,16.2204066986677,0.09020273798329392,0.04510136899164696,0.40342124952719766,0.037469313958150494,0.018734656979075247,2.879480981826782,0.06904763909867746,0.03452381954933873,9.136951432145938,0.1413848697403009,0.07069243487015046,0.5557480076291084,0.003934032824233306,0.001967016412116653,0.07435868531465525,0.0032813848652543456,0.0016406924326271726,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.1528756931782995,0.0018503490047695078,0.0009251745023847538,0.06418872034963055,0.001492565742019389,0.0007462828710096944,0.10450908988714214,0.0051607256807039755,0.0025803628403519873
vanilla_diffusion,Vanilla diffusion,iid_test,ID held-out,5,5,0.44047567844390867,0.009536745395425423,0.004768372697712711,0.4541623338734069,0.010256252434260576,0.005128126217130288,6.857958749869574,0.19390034764892028,0.09695017382446014,0.0534611536798855,0.0006191476379489084,0.0003095738189744542,12.278799247741699,0.47677434352401277,0.23838717176200636,13.975845547571335,0.36632997601741746,0.1831649880087087,0.24510450696945987,0.012880274495189687,0.006440137247594844,,0.0,0.0,0.08592431843280787,0.007245853759479721,0.0036229268797398602,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
explicit_residual_target_diffusion,Conditional diffusion,iid_test,ID held-out,5,5,0.08094238936901088,0.006786615083430994,0.0033933075417154966,0.15536923842011216,0.0025495605387627867,0.0012747802693813934,16.173856923385724,0.14145319807032825,0.07072659903516411,0.2639326792496901,0.06818283047952478,0.034091415239762383,2.9315781593322754,0.11640493284395038,0.058202466421975185,9.218623864174361,0.16622970563385325,0.08311485281692663,0.5459159749628836,0.0021901985888279143,0.0010950992944139572,0.05632433816790576,0.002807042451516675,0.0014035212257583372,0.06580830961465832,0.011955711945439913,0.0059778559727199565,0.7945371441174645,0.01884784301827425,0.009423921509137125,0.7945843157142047,0.014684305994825758,0.007342152997412879,0.07786045995117655,0.009768491865161212,0.004884245932580606,0.018222969543277578,0.0018852997156202647,0.0009426498578101323,0.4714539349079132,0.07008908650897026,0.03504454325448513
train_mean_prior,Mean prior,ood_unseen_depth_range,Depth OOD,5,5,0.1438805907964706,0.0,0.0,0.22275564417982627,2.7755575615628914e-17,1.3877787807814457e-17,13.043425660066552,0.0,0.0,0.0330969039350748,0.0,0.0,4.35940408706665,0.0,0.0,13.246117364878682,1.7763568394002505e-15,8.881784197001252e-16,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
srcnn_bz_single_channel,SRCNN,ood_unseen_depth_range,Depth OOD,5,5,0.12076184004545207,0.0044158819310226895,0.0022079409655113447,0.21235548640672466,0.0012008225736866703,0.0006004112868433351,13.458868810930221,0.049025590318011694,0.024512795159005847,0.15523244380019602,0.024619174408866466,0.012309587204433231,4.126642322540283,0.07162505093756731,0.03581252546878365,12.96164139269562,0.029122752250288594,0.014561376125144295,0.3195914033309084,0.002684433937682524,0.0013422169688412618,0.12076183855533595,0.004415882234049763,0.0022079411170248817,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.2103870589393478,0.0012456069260563388,0.0006228034630281694,0.08251556351893244,0.0012660039107597334,0.0006330019553798666,0.14194259643554685,0.0016667784418061824,0.0008333892209030912
unet_canonical_bxyz,U-Net,ood_unseen_depth_range,Depth OOD,5,5,0.07552630305290217,0.0038649180893867907,0.0019324590446933956,0.15752257751472806,0.001860162966978412,0.000930081483489206,16.053750771896382,0.10274036948237315,0.05137018474118658,0.3994130171835423,0.03697265691646482,0.018486328458232407,3.15028772354126,0.0722375330905637,0.036118766545281844,10.841863498191143,0.06562900187714707,0.032814500938573535,0.5492676785693019,0.0026338065484030533,0.0013169032742015266,0.0755263060331344,0.0038649189714883496,0.0019324594857441746,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.15590867522704208,0.00189162199601697,0.0009458109980084849,0.05744270772068692,0.002120977669306934,0.001060488834653467,0.11313858032226558,0.003998649012558348,0.001999324506279174
vanilla_diffusion,Vanilla diffusion,ood_unseen_depth_range,Depth OOD,5,5,0.4388254225254059,0.019003819459972506,0.009501909729986251,0.4524173766948413,0.019911015781787066,0.009955507890893533,6.897488243340492,0.3775604683343285,0.18878023416716425,0.05050993408076463,0.00044435515653696564,0.00022217757826848282,12.570784187316894,0.9407422058239152,0.4703711029119576,15.216845559674681,0.6182947007959833,0.3091473503979916,0.2500820745180582,0.005128517622097006,0.0025642588110485025,,0.0,0.0,0.08817719817161557,0.00606602450505719,0.003033012252528595,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_depth_range,Depth OOD,5,5,0.08360829055309289,0.007009213500301955,0.003504606750150977,0.15939708407258954,0.0027929382567789215,0.0013964691283894605,15.951728878268028,0.15244646247215246,0.07622323123607623,0.24262350085191425,0.04496955316580041,0.022484776582900205,3.2412741661071776,0.10726924047481373,0.053634620237406866,10.942842109754178,0.09077146544996745,0.045385732724983724,0.5406554519090824,0.006220231965950593,0.0031101159829752963,0.05759450867772098,0.003212609085425127,0.0016063045427125635,0.06904045119881627,0.014372461267679706,0.007186230633839853,0.7850793547845162,0.03640667131090552,0.01820333565545276,0.796651564616327,0.009088652763708927,0.0045443263818544626,0.07745635216402165,0.012251766159993845,0.006125883079996923,0.0181721374866155,0.0013037373261970155,0.0006518686630985077,0.4665087699890137,0.0884385752691647,0.04421928763458234
