model,method_label,scenario_key,scenario_label,n_seeds,ssim_norm_retention_mean,ssim_norm_retention_std,psnr_norm_retention_mean,psnr_norm_retention_std,spearman_pixel_retention_mean,spearman_pixel_retention_std,mae_kpa_retention_mean,mae_kpa_retention_std,rmse_kpa_retention_mean,rmse_kpa_retention_std,mae_norm_retention_mean,mae_norm_retention_std,rmse_norm_retention_mean,rmse_norm_retention_std
train_mean_prior,Mean prior,ood_unseen_depth_range,Depth OOD,5,0.9950145417164411,1.1102230246251565e-16,0.990357770370419,0.0,,0.0,0.9314266938209317,0.0,0.8666736866942829,0.0,1.0014503405928725,0.0,0.9854858442151769,1.1102230246251565e-16
srcnn_bz_single_channel,SRCNN,ood_unseen_depth_range,Depth OOD,5,1.065038318203507,0.380123591497474,0.9782300240794735,0.004347977488137353,0.9654665426660692,0.011051395920116969,0.9212604598560278,0.025325601156496264,0.8519965429986154,0.0038044902566740837,1.001878116478762,0.06368155042132445,0.966120215899959,0.00667738808024494
unet_canonical_bxyz,U-Net,ood_unseen_depth_range,Depth OOD,5,0.9977685321259822,0.12656125778401717,0.9897755373827184,0.01044778982968047,0.9883718559338617,0.006153377436277458,0.9146704413323304,0.03480844993500312,0.8428292258139827,0.016827374743181772,0.9878711556762738,0.07798646928330008,0.981183286115457,0.019267751228569434
vanilla_diffusion,Vanilla diffusion,ood_unseen_depth_range,Depth OOD,5,0.9449921779680169,0.017866180229977123,1.006674545544057,0.06435389223311201,1.022836955463885,0.052178960607151756,0.9821556231152033,0.08264454867123806,0.9199729905922978,0.045112150513663414,1.0056376667471052,0.04889039665263355,1.0057976136435904,0.050015347602228026
explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_depth_range,Depth OOD,5,1.0112315553045501,0.36693227326529393,0.9864153017771222,0.017603614250090226,0.9904010910578089,0.01368496287908824,0.9062112378106277,0.06008613911750202,0.8425212619669737,0.018228290123216837,0.9799570886931083,0.151870028514342,0.9752784541363967,0.03226117118362215
train_mean_prior,Mean prior,ood_unseen_layer_modulus,Mechanical-background OOD,5,0.9549922181119627,0.0,0.9823042926432034,0.0,,0.0,0.9296287178569032,1.1102230246251565e-16,0.9017275174270738,0.0,0.9866566167756987,1.1102230246251565e-16,0.973524772179098,0.0
srcnn_bz_single_channel,SRCNN,ood_unseen_layer_modulus,Mechanical-background OOD,5,1.0900671401136708,0.36318709252921544,1.0095312476142904,0.00203324464964903,1.2341788168241234,0.015129565753550539,0.9429379075416439,0.01865761906458021,0.9048302614806165,0.0034924461287263314,1.0275346330333937,0.04872137690997593,1.0152132410983339,0.0032516070903108193
unet_canonical_bxyz,U-Net,ood_unseen_layer_modulus,Mechanical-background OOD,5,0.974440365747515,0.18873624580656748,1.0096406983778226,0.01255833414086743,0.9836469731813068,0.019640630177679048,0.964345148141376,0.035483653592825175,0.9427501395930076,0.02095422855602942,1.0179118638069609,0.06594108000903263,1.018338244753949,0.023691494996234432
vanilla_diffusion,Vanilla diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,5,0.8943567368131123,0.008357943739893951,0.9710448289467959,0.04532897982844507,1.269588087060955,0.052579890545161476,0.9409067404030275,0.057078919873842546,0.9236331848437012,0.034875547330107226,0.9774507570917986,0.034305443026232965,0.9779228032657358,0.035184614449051486
explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,5,1.0282251159140685,0.5571371390125645,0.9920593663143691,0.028041559012426793,1.007532248450363,0.0065549308408915305,0.9197884779082829,0.0863330418457375,0.9359892538017013,0.03139182600262466,0.9604841864625044,0.2038223484885522,0.9863017660986155,0.05056157464326021
